,word,frequency,word_length
151,your,276,4
147,with,232,4
65,land,194,4
117,that,191,4
36,from,138,4
146,will,134,4
123,this,114,4
104,shall,84,5
97,people,80,6
40,glory,77,5
34,free,74,4
54,homeland,73,8
120,their,66,5
47,have,65,4
79,nation,59,6
72,love,59,4
71,long,56,4
43,great,54,5
22,country,53,7
96,peace,51,5
69,live,49,4
122,they,48,4
144,which,48,5
35,freedom,47,7
119,thee,41,4
29,every,39,5
31,flag,39,4
14,blood,38,5
28,ever,37,4
142,when,36,4
143,where,36,5
3,always,35,6
39,glorious,34,8
78,name,32,4
94,over,30,4
149,world,29,5
13,bless,29,5
126,thousand,28,8
111,sons,28,4
113,stand,27,5
48,heart,27,5
115,strong,26,6
67,light,26,5
42,good,25,4
49,hearts,24,6
125,thou,23,4
12,beloved,23,7
45,happiness,22,9
21,children,22,8
24,dear,22,4
83,noble,22,5
11,before,22,6
127,through,22,7
68,like,22,4
30,fatherland,21,10
10,beautiful,21,9
53,home,21,4
141,what,20,4
100,proud,20,5
73,make,20,4
25,defend,20,6
38,give,20,4
56,hope,20,4
76,more,20,4
101,sacred,19,6
99,protect,19,7
124,those,19,5
20,canada,19,6
19,call,19,4
109,soil,19,4
16,brave,19,5
80,never,18,5
33,forever,18,7
121,them,18,4
130,together,18,8
15,blue,18,4
27,eternal,18,7
134,unity,17,5
1,africa,17,6
51,high,17,4
55,honour,17,6
110,song,17,4
112,spirit,17,6
114,strength,16,8
105,should,16,6
148,without,16,7
106,sing,16,4
70,living,16,6
37,fulfill,16,7
136,upon,16,4
133,united,16,6
132,under,16,5
131,true,16,4
44,hand,16,4
98,place,15,5
64,keep,15,4
